Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.010000000000000009,0.8,0.2956337678340889,0.3790332141961754,745,749.0,4.0,0.0053404539385847796
Two Proportions (A/B),0.050000000000000044,0.85,0.118037009801919,0.33849752380750897,61,62.0,1.0,0.016129032258064516
Two Proportions (A/B),0.050000000000000044,0.8,0.3723100326173428,0.4445637131693785,723,726.0,3.0,0.004132231404958678
Two Proportions (A/B),0.050000000000000044,0.9,0.2540397925978658,0.4794590353206975,91,94.0,3.0,0.031914893617021274
Two Proportions (A/B),0.09999999999999998,0.95,0.44612794247797377,0.4805753237152654,4531,4534.0,3.0,0.0006616674018526688
Two Proportions (A/B),0.010000000000000009,0.8,0.4320466166493945,0.6790497869457726,89,93.0,4.0,0.043010752688172046
Two Proportions (A/B),0.09999999999999998,0.9,0.22480864021507305,0.5237247033072873,41,44.0,3.0,0.06818181818181818
Two Proportions (A/B),0.09999999999999998,0.95,0.3224672409790084,0.40265364417346283,773,776.0,3.0,0.003865979381443299
Two Proportions (A/B),0.010000000000000009,0.95,0.33045710524650257,0.5777842795260903,136,142.0,6.0,0.04225352112676056
Two Proportions (A/B),0.09999999999999998,0.8,0.4566454337294051,0.4752016097215148,8933,8935.0,2.0,0.0002238388360380526
Two Proportions (A/B),0.050000000000000044,0.95,0.017748466154151415,0.05012056503063016,807,765.0,42.0,0.05204460966542751
Two Proportions (A/B),0.050000000000000044,0.85,0.18388180706561244,0.3170655508888778,186,188.0,2.0,0.010638297872340425
Two Proportions (A/B),0.050000000000000044,0.95,0.30257692739149267,0.48506985964805166,180,184.0,4.0,0.021739130434782608
Two Proportions (A/B),0.010000000000000009,0.9,0.1731870871846452,0.43982673655701565,82,85.0,3.0,0.03529411764705882
Two Proportions (A/B),0.050000000000000044,0.9,0.25181548615566,0.3439738672588899,513,515.0,2.0,0.003883495145631068
Two Proportions (A/B),0.010000000000000009,0.85,0.31222396784774514,0.5376596010114474,119,124.0,5.0,0.04032258064516129
Two Proportions (A/B),0.09999999999999998,0.8,0.1528329130526242,0.3863482470152342,42,43.0,1.0,0.023255813953488372
Two Proportions (A/B),0.010000000000000009,0.8,0.11104652849122854,0.3529649700410383,66,67.0,1.0,0.014925373134328358
Two Proportions (A/B),0.09999999999999998,0.8,0.4339447402249274,0.7093693238510961,37,39.0,2.0,0.05128205128205128
Two Proportions (A/B),0.050000000000000044,0.8,0.02715387825533477,0.2654921483068154,31,28.0,3.0,0.0967741935483871
Two Proportions (A/B),0.050000000000000044,0.85,0.43812423088929026,0.6331309670678644,113,116.0,3.0,0.02586206896551724
Two Proportions (A/B),0.010000000000000009,0.8,0.2547215672347493,0.4198789635684398,186,189.0,3.0,0.015873015873015872
Two Proportions (A/B),0.010000000000000009,0.85,0.39415380575778414,0.5257767931412058,368,372.0,4.0,0.010752688172043012
Two Proportions (A/B),0.09999999999999998,0.95,0.3946978799068967,0.578363045929934,155,159.0,4.0,0.025157232704402517
Two Proportions (A/B),0.010000000000000009,0.85,0.2992140029839374,0.4274275317980376,361,365.0,4.0,0.010958904109589041
Two Proportions (A/B),0.09999999999999998,0.9,0.023872524457307216,0.09478103581702887,186,172.0,14.0,0.07526881720430108
Two Proportions (A/B),0.09999999999999998,0.8,0.3593504038508148,0.37268322110726826,16139,16139.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.8,0.46277316650860906,0.5052185453078549,1711,1713.0,2.0,0.0011675423234092236
Two Proportions (A/B),0.050000000000000044,0.9,0.39539596737151506,0.6787300465523489,60,64.0,4.0,0.0625
Two Proportions (A/B),0.010000000000000009,0.9,0.363077118835759,0.6127586649925301,112,117.0,5.0,0.042735042735042736
