Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.09999999999999998,0.8,0.2927499255863363,0.5050992456476309,63,65.0,2.0,0.03076923076923077
Two Proportions (A/B),0.050000000000000044,0.95,0.05946118798898553,0.32145502114993757,52,52.0,0.0,0.0
Two Proportions (A/B),0.050000000000000044,0.95,0.06533650491614554,0.31953809176173353,57,56.0,1.0,0.017543859649122806
Two Proportions (A/B),0.010000000000000009,0.9,0.08114629131348354,0.29707820767577847,91,90.0,1.0,0.01098901098901099
Two Proportions (A/B),0.010000000000000009,0.85,0.12386831829746343,0.21535962298099037,433,432.0,1.0,0.0023094688221709007
Two Proportions (A/B),0.050000000000000044,0.8,0.08464149883762237,0.17183022246712823,227,225.0,2.0,0.00881057268722467
Two Proportions (A/B),0.09999999999999998,0.8,0.2957961713034966,0.5500430877432415,44,46.0,2.0,0.043478260869565216
Two Proportions (A/B),0.010000000000000009,0.8,0.1174442413426991,0.13720830302472217,6639,6636.0,3.0,0.00045187528242205153
Two Proportions (A/B),0.010000000000000009,0.8,0.21389949975483524,0.4441868140777762,92,95.0,3.0,0.031578947368421054
Two Proportions (A/B),0.050000000000000044,0.85,0.36269781214379615,0.6241085179658423,62,65.0,3.0,0.046153846153846156
Two Proportions (A/B),0.050000000000000044,0.85,0.4125016759048707,0.5833523068350484,150,153.0,3.0,0.0196078431372549
Two Proportions (A/B),0.09999999999999998,0.95,0.23695463120815746,0.3150041293231538,705,707.0,2.0,0.002828854314002829
Two Proportions (A/B),0.09999999999999998,0.9,0.1520853582823684,0.3254391482589747,100,101.0,1.0,0.009900990099009901
Two Proportions (A/B),0.010000000000000009,0.9,0.3899196136975364,0.4786283340270836,922,927.0,5.0,0.005393743257820928
Two Proportions (A/B),0.050000000000000044,0.9,0.1492943055344832,0.19810453080439422,1261,1261.0,0.0,0.0
Two Proportions (A/B),0.010000000000000009,0.8,0.036622697063222874,0.26372981495982084,52,49.0,3.0,0.057692307692307696
